player1,player2,similarity
Thibaut Courtois,Gonzalo Higuaín,0.7759287205777117
Gonzalo Higuaín,Thibaut Courtois,0.7759287205777117
Gianluigi Buffon,Gonzalo Higuaín,0.7760963954784849
Gonzalo Higuaín,Gianluigi Buffon,0.7760963954784849
Eden Hazard,Stéphane Ruffier,0.7761751466082277
Stéphane Ruffier,Eden Hazard,0.7761751466082277
Hugo Lloris,Lionel Messi,0.7762918123088001
Lionel Messi,Hugo Lloris,0.7762918123088001
Thibaut Courtois,Sergio Agüero,0.7763140248776862
Sergio Agüero,Thibaut Courtois,0.7763140248776862
Sergio Agüero,Gianluigi Buffon,0.776481783041082
Gianluigi Buffon,Sergio Agüero,0.776481783041082
Keylor Navas,Gonzalo Higuaín,0.7765708700674255
Gonzalo Higuaín,Keylor Navas,0.7765708700674255
Samir Handanovič,Robert Lewandowski,0.7765811460050773
Robert Lewandowski,Samir Handanovič,0.7765811460050774
Sokratis,Stéphane Ruffier,0.77659809197679
Stéphane Ruffier,Sokratis,0.77659809197679
Pepe,Jan Oblak,0.7766946191163095
Jan Oblak,Pepe,0.7766946191163095
Romelu Lukaku,Stéphane Ruffier,0.7767800603832788
Stéphane Ruffier,Romelu Lukaku,0.7767800603832788
Bernd Leno,Leonardo Bonucci,0.776811100791777
Leonardo Bonucci,Bernd Leno,0.776811100791777
Leonardo Bonucci,Petr Čech,0.7768553279254213
Petr Čech,Leonardo Bonucci,0.7768553279254213
Sergio Agüero,Keylor Navas,0.7769564932407101
Keylor Navas,Sergio Agüero,0.7769564932407101
Jan Oblak,Zlatan Ibrahimović,0.7773063043464074
Zlatan Ibrahimović,Jan Oblak,0.7773063043464074
Stéphane Ruffier,Franck Ribéry,0.7773333583660992
Franck Ribéry,Stéphane Ruffier,0.7773333583660992
Bernd Leno,Eden Hazard,0.7773606306275633
Eden Hazard,Bernd Leno,0.7773606306275633
Petr Čech,Eden Hazard,0.7774048890482601
Eden Hazard,Petr Čech,0.7774048890482601
Pierre-Emerick Aubameyang,Jan Oblak,0.7775375916381907
Jan Oblak,Pierre-Emerick Aubameyang,0.7775375916381907
Antoine Griezmann,Hugo Lloris,0.7775515171057935
Hugo Lloris,Antoine Griezmann,0.7775515171057935
Jan Oblak,Laurent Koscielny,0.777594573145764
Laurent Koscielny,Jan Oblak,0.777594573145764
Dries Mertens,Jan Oblak,0.7777527666124139
Jan Oblak,Dries Mertens,0.7777527666124139
Bernd Leno,Sokratis,0.7777842219778703
Sokratis,Bernd Leno,0.7777842219778704
Petr Čech,Sokratis,0.7778285045154101
Sokratis,Petr Čech,0.7778285045154101
Stéphane Ruffier,Arjen Robben,0.777960538019871
Arjen Robben,Stéphane Ruffier,0.777960538019871
Bernd Leno,Romelu Lukaku,0.7779664683121426
