Club,Club_Position
FC Krasnodar,Sub
Zenit,ST
Spartak Moscow,Sub
Rubin Kazan,LDM
Arsenal,Sub
Sevilla FC,RB
West Ham,RM
Manchester City,Sub
West Brom,Sub
RCD Espanyol,Sub
Spurs,Sub
FC Porto,RB
RC Deportivo,LCB
Olym. Marseille,CDM
Genoa,LCM
Beşiktaş,GK
VfL Wolfsburg,Sub
Bor. M'gladbach,LM
Beşiktaş,Res
Sporting CP,LM
Panathinaikos,ST
CSKA Moscow,LDM
Arsenal,Sub
Montreal Impact,Sub
Chievo Verona,CAM
Milan,Sub
FC Porto,LCB
Liverpool,GK
Manchester Utd,Sub
Zenit,LB
Torino,LCB
Fenerbahçe,Sub
Portland,CAM
Bor. Dortmund,Res
West Brom,LCB
Udinese,RCB
Sevilla FC,Sub
Lazio,LB
Zenit,Sub
Celta Vigo,Sub
Swansea City,ST
Olym. Marseille,ST
Arsenal,Res
Stoke City,Sub
Lokomotiv Moscow,Res
Lokomotiv Moscow,CAM
Crystal Palace,Sub
Sounders FC,CAM
Toronto FC,CDM
Stade Rennais,RS
Montpellier HSC,RCB
Bursaspor,CAM
Manchester City,LB
FC Schalke 04,Sub
SL Benfica,RCB
CSKA Moscow,RCB
Lokomotiv Moscow,RDM
Spartak Moscow,Sub
Manchester City,Sub
Real Sociedad,RCM
RCD Espanyol,RDM
Necaxa,GK
Racing Club,LS
Granada CF,GK
Cagliari,RCB
Free Agents,Res
VfL Wolfsburg,GK
CSKA Moscow,RM
PSG,Sub
Djurgårdens IF,LCM
Colorado Rapids,GK
Málaga CF,Sub
Manchester Utd,Sub
Free Agents,Res
Manchester City,Sub
Real Sociedad,LW
FC Porto,RS
FC Porto,LS
Celta Vigo,RCM
Racing Club,LM
Sporting Gijón,RCB
Málaga CF,Sub
Real Betis,Sub
Angers SCO,RCM
Club Brugge,LW
SD Eibar,RDM
Celta Vigo,LW
San Lorenzo,GK
Levante UD,LM
Bayer 04,LB
1899 Hoffenheim,LS
Torino,RB
AS Monaco,LCB
River Plate,LS
Udinese,ST
OGC Nice,Sub
Málaga CF,Sub
FC Porto,LB
RB Leipzig,Sub
Bor. M'gladbach,Sub
Sporting CP,LCB
Olym. Lyonnais,RW
SL Benfica,Sub
Spurs,Sub
Querétaro,GK
Ajax,RB
FC Schalke 04,LB
Tigres,LDM
Burnley,RCB
Manchester Utd,Sub
UD Las Palmas,LCB
Napoli,Sub
Spurs,Sub
Monterrey,CAM
Genoa,Sub
SD Eibar,LM
SL Benfica,Sub
Sporting CP,Sub
Roma,Sub
Watford,Sub
Bor. M'gladbach,Sub
Olympiakos CFP,CAM
FC Krasnodar,LW
SL Benfica,Sub
Panathinaikos,LCB
FC Schalke 04,Sub
Hannover 96,LCB
Fiorentina,LCM
América,GK
RSC Anderlecht,ST
West Brom,LM
Fiorentina,Sub
Real Betis,LCB
Bor. Dortmund,Sub
Feyenoord,ST
Celta Vigo,ST
Stoke City,LCB
Southampton,Sub
Bayer 04,Sub
KRC Genk,GK
Monterrey,ST
Valencia CF,Sub
Stade Rennais,RCB
Valencia CF,RCM
Rosario Central,RS
Monterrey,LW
Southampton,Sub
Swansea City,Sub
SD Eibar,ST
RCD Espanyol,RM
Werder Bremen,LCM
PSV,RCM
Beşiktaş,ST
VfL Wolfsburg,Sub
Napoli,Sub
West Brom,RB
1899 Hoffenheim,CB
Celta Vigo,Sub
Werder Bremen,RCB
West Ham,Sub
Whitecaps FC,ST
RC Deportivo,LDM
West Ham,LM
Athletic Bilbao,Sub
Bayer 04,Sub
Trabzonspor,Sub
Athletic Bilbao,LW
Athletic Bilbao,Sub
Atalanta,GK
Everton,Sub
