Club,Club_Position
SC Braga,Sub
1899 Hoffenheim,Sub
Atlético Madrid,Sub
U.N.A.M.,Sub
RC Deportivo,Sub
Eint. Frankfurt,RCM
Toulouse FC,LCB
CD Leganés,RCB
Sassuolo,RCM
Middlesbrough,LCM
Sunderland,RM
Wolves,CDM
Watford,Sub
SC Braga,Sub
Ajax,RW
PAOK,LM
Levante UD,ST
LOSC Lille,CAM
Trabzonspor,RB
Olym. Lyonnais,Sub
Milan,LB
Ajax,LW
1. FSV Mainz 05,Sub
Club Brugge,LCB
Milan,Sub
Southampton,RCM
Liverpool,Sub
Trabzonspor,RDM
RC Deportivo,LM
Sunderland,GK
RB Leipzig,RS
FC Nantes,LS
FC Krasnodar,RCM
Sampdoria,Sub
EA Guingamp,RCB
Bor. M'gladbach,Sub
Stoke City,Sub
PSV,RB
Birmingham City,Sub
Dijon FCO,GK
Chelsea,Res
Boca Juniors,RCB
Brighton,RM
Real Betis,LM
FC Basel,LM
VfL Wolfsburg,Sub
Trabzonspor,LM
FC Barcelona,Sub
Levante UD,CAM
CD Leganés,Res
Eint. Frankfurt,RWB
FC Augsburg,RCB
Real Betis,RWB
FC Augsburg,LCB
Burnley,Sub
1899 Hoffenheim,Sub
Chicago Fire,CAM
Inter,RDM
CD Leganés,Sub
Galatasaray,LB
Everton,Sub
1899 Hoffenheim,Sub
Feyenoord,RW
Shakhtar Donetsk,Sub
Club Brugge,CAM
West Ham,Sub
CD Leganés,LDM
Galatasaray,RM
SD Eibar,Sub
LOSC Lille,LM
Bursaspor,GK
Deport. Alavés,LM
Giron. Bordeaux,LCB
Norwich,LCB
CA Osasuna,RM
CSKA Moscow,Sub
Real Sociedad,RCB
Pachuca,LCB
Bor. M'gladbach,Sub
Club Brugge,Sub
Angers SCO,Res
VfL Wolfsburg,Res
Monterrey,LCM
Real Betis,Sub
Swansea City,Sub
Werder Bremen,GK
Fiorentina,Sub
Osmanlıspor,LM
Bournemouth,Sub
Bologna,Sub
Bursaspor,RM
Atl. Nacional,CM
Colo-Colo,LS
Everton,GK
FC Augsburg,Res
Fulham,RCM
Huddersfield,LDM
Konyaspor,LCB
Deport. Alavés,RCB
Fiorentina,Sub
Leeds United,LCB
Burnley,RS
SL Benfica,Sub
FC Ingolstadt,Sub
Frosinone,GK
FC Schalke 04,ST
West Ham,Sub
Crystal Palace,Res
Hannover 96,RDM
CD Leganés,GK
1. FC Köln,RM
Stoke City,Res
OGC Nice,Sub
VfL Wolfsburg,Sub
Rubin Kazan,Sub
Swansea City,Sub
Tigres,Sub
CSKA Moscow,LB
Zenit,RW
Colo-Colo,Sub
Hertha BSC,RB
Antalyaspor,Sub
FC Ingolstadt,RM
Anzhi Makhachkala,RCB
Stade Rennais,LDM
1. FC Köln,RCB
Çaykur Rizespor,ST
San Lorenzo,LCB
Hull City,Sub
Bor. M'gladbach,RB
Olym. Marseille,Sub
Watford,Sub
Empoli,GK
West Ham,LB
Inter,Sub
1. FSV Mainz 05,LDM
Southampton,Sub
Melbourne City,ST
Toulouse FC,Sub
Fenerbahçe,LM
Aston Villa,ST
Watford,LCB
UD Las Palmas,Sub
FC Basel,Res
RSC Anderlecht,CAM
Chievo Verona,LS
Orlando Pirates,RCM
FC Metz,ST
Fenerbahçe,Sub
Panathinaikos,LM
Lokomotiv Moscow,Sub
PSV,LCM
FC Schalke 04,Res
Newcastle Utd,RM
Sunderland,LM
RC Deportivo,Sub
Antalyaspor,LCB
Milan,Sub
Legia Warszawa,LCB
Zenit,LCM
River Plate,Res
FC Basel,RB
Inter,Sub
FC Nantes,Res
Sunderland,RCB
Fenerbahçe,Sub
NYCFC,LCM
Sevilla FC,Sub
Kaizer Chiefs,RM
Atalanta,Res
Marítimo,GK
VfB Stuttgart,ST
SC Freiburg,Sub
Stade Rennais,LS
1. FSV Mainz 05,RDM
Werder Bremen,RM
Leicester City,LM
Newcastle Utd,LCB
Hamburger SV,Sub
Fiorentina,Sub
FC Augsburg,LM
Free Agents,Res
Hamburger SV,LDM
Beşiktaş,Sub
RC Deportivo,LB
FC Seoul,LS
Galatasaray,Sub
Hertha BSC,Sub
SM Caen,RCB
VfB Stuttgart,LB
Leeds United,CAM
BSC Young Boys,Sub
Olympiakos CFP,Sub
SD Eibar,CAM
Stoke City,LB
RCD Espanyol,Sub
Rubin Kazan,Sub
Real Sociedad,Sub
EA Guingamp,LCM
SV Darmstadt,RM
Hannover 96,ST
AS Monaco,Sub
Stade Rennais,LB
FC Ufa,Res
Hertha BSC,Sub
1860 München,LW
Beşiktaş,Sub
Sassuolo,Sub
Suwon Bluewings,LM
Toronto FC,RS
Club Brugge,ST
NY Red Bulls,RAM
Udinese,Sub
Free Agents,Res
Málaga CF,LM
Villarreal CF,Sub
RC Deportivo,Sub
Crystal Palace,RCB
Valencia CF,Sub
Sampdoria,Sub
Sheffield Wed,GK
1. FSV Mainz 05,GK
Real Sociedad,Sub
América,LCB
UD Las Palmas,Sub
Spartak Moscow,RB
Torino,Sub
Olympiakos CFP,RW
Celtic,LW
Atalanta,LCB
KAA Gent,RF
Trabzonspor,ST
FC Krasnodar,Sub
FC Orenburg,Sub
Lokomotiv Moscow,LM
Feyenoord,GK
Medipol Başakşehir,LM
Chievo Verona,Sub
Club Brugge,RW
Grasshopper,CAM
Chelsea,Sub
SM Caen,LCM
Montpellier HSC,RDM
Santos Laguna,GK
Olym. Marseille,LCB
West Brom,CAM
FC Ingolstadt,RCB
San Lorenzo,LCM
Newcastle Utd,Sub
U.N.A.M.,RCM
Rayo Vallecano,RDM
Colo-Colo,CB
1899 Hoffenheim,Sub
América,LS
Stade Rennais,RDM
Hamburger SV,Sub
OGC Nice,CDM
BSC Young Boys,LS
Cruz Azul,GK
Stoke City,LDM
FC Ufa,Sub
Swansea City,Sub
SC Bastia,GK
Toluca,LCM
Crystal Palace,RCM
Werder Bremen,Sub
Norwich,LM
Arsenal Tula,GK
Perth Glory,LM
Real Betis,Sub
Villarreal CF,GK
Medipol Başakşehir,RCB
Chievo Verona,Sub
River Plate,LDM
Olympiakos CFP,Sub
West Brom,RDM
FC Basel,Sub
Milan,Sub
Bologna,RCB
Hellas Verona,ST
Bari,RW
SC Heerenveen,CDM
Deport. Alavés,Sub
Fenerbahçe,LB
Beşiktaş,Res
Cagliari,LS
Celtic,Sub
Gimnàstic,RS
West Brom,RCB
Bournemouth,GK
Sassuolo,CDM
Swansea City,RM
1. FC Köln,LDM
Sunderland,Sub
Club Brugge,GK
Torino,Res
Djurgårdens IF,RCB
West Ham,Sub
Real Salt Lake,GK
Chievo Verona,RCB
Everton,Sub
Sassuolo,LCB
Valencia CF,Sub
V. Guimarães,LW
Málaga CF,Sub
Málaga CF,Sub
Marítimo,RCB
Málaga CF,Sub
Atalanta,LCM
Palmeiras,LCB
Vitória,RS
Santa Cruz,ST
Criciúma,RAM
Santos,CAM
Santa Cruz,CAM
Joinville,RDM
Goiás,RCB
Vitória,RCB
São Paulo,RB
Grêmio,LB
Ponte Preta,GK
Cruzeiro,CAM
Chapecoense,LAM
Grêmio,RDM
Fluminense,RDM
Palmeiras,RCB
Internacional,LCB
Grêmio,LCB
Atl. Paranaense,RB
Coritiba,LB
A. Minas G.,GK
PSV,RW
Osmanlıspor,RM
1. FSV Mainz 05,LS
Shakhtar Donetsk,CAM
Ajax,ST
Bayer 04,RB
Bor. Dortmund,Sub
Olym. Lyonnais,Sub
Udinese,LCM
SL Benfica,Sub
PSG,Sub
Zenit,Sub
CA Osasuna,Sub
Bor. Dortmund,Sub
Guadalajara,RDM
FC Porto,Sub
Boca Juniors,RW
Sampdoria,CM
Marítimo,CDM
Stade Rennais,Sub
Milan,LCM
Konyaspor,RM
Sanfrecce Hiroshima,RCM
Toulouse FC,RDM
Giron. Bordeaux,Res
Bologna,Sub
Marítimo,LCB
Ulsan Hyundai,Sub
River Plate,RS
KAA Gent,GK
Villarreal CF,Sub
Al Hilal,ST
Valencia CF,Sub
Sevilla FC,LCB
CD Leganés,LB
Real Betis,Sub
Valencia CF,RW
UD Las Palmas,RM
Stade de Reims,RM
Deport. Alavés,RM
Aston Villa,Sub
SC Braga,RDM
San Lorenzo,RM
SC Braga,Sub
SC Braga,RM
San Lorenzo,CDM
Bologna,Sub
FC Krasnodar,LCM
Udinese,RCM
Hull City,LB
Bayer 04,Sub
Olym. Lyonnais,Sub
Newcastle Utd,Sub
KRC Genk,Sub
Kayserispor,CAM
Granada CF,RCB
Estudiantes,RCB
Cruz Azul,ST
Tigres,Sub
River Plate,Sub
River Plate,LB
América,RCB
Tigres,LM
Ind. Santa Fe,CB
Monterrey,Sub
Levante UD,Sub
Southampton,Sub
Shakhtar Donetsk,ST
FC Porto,Sub
V. Guimarães,Sub
PSV,Sub
Milan,Sub
West Ham,Res
Tijuana,RM
VfL Wolfsburg,RDM
Cruz Azul,RCB
Deportivo Cali,GK
Sampdoria,Sub
Genoa,RCM
LOSC Lille,Sub
Celta Vigo,Sub
Sporting Gijón,Sub
Hamburger SV,Sub
FC Basel,RM
AZ,LB
Galatasaray,Sub
Málaga CF,LDM
CD Leganés,Sub
Guadalajara,LDM
Free Agents,Res
Sporting KC,LW
Chelsea,Sub
Real Valladolid,GK
Palermo,Res
Hull City,Sub
Free Agents,Res
CSKA Moscow,Sub
RC Deportivo,RCB
Swansea City,Sub
CD Leganés,LCB
Tigres,CAM
Derby County,Sub
Shakhtar Donetsk,Sub
Shakhtar Donetsk,Sub
Crystal Palace,CDM
Kaizer Chiefs,CM
BSC Young Boys,GK
Middlesbrough,RCB
Olympiakos CFP,GK
UD Las Palmas,Sub
Newcastle Utd,ST
Newcastle Utd,Sub
Legia Warszawa,Sub
Zulte-Waregem,LDM
Reading,Sub
Monterrey,RB
1860 München,CB
Spartak Moscow,Sub
Sagan Tosu,RS
Roda JC,GK
PSV,Sub
FC Utrecht,LCM
Genoa,Sub
Middlesbrough,Sub
KRC Genk,CAM
RSC Anderlecht,Sub
Paços Ferreira,ST
SC Braga,Sub
Trabzonspor,LDM
River Plate,Sub
Sassuolo,Sub
Bologna,Sub
Montpellier HSC,LB
Brentford,RM
SD Eibar,Sub
Hamburger SV,ST
RB Leipzig,LDM
Atalanta,CAM
Palermo,LCB
FC Rostov,LS
Udinese,Sub
QPR,Sub
1. FSV Mainz 05,Sub
Olympiakos CFP,Sub
Bursaspor,LM
Galatasaray,LDM
Roma,Sub
Celta Vigo,Sub
Free Agents,Res
Brighton,LCB
Werder Bremen,Sub
Celtic,LCB
KAA Gent,RCM
Newcastle Utd,Sub
Burnley,RB
Southampton,CDM
Chievo Verona,RS
SD Eibar,LB
Sporting Gijón,ST
Inter,RB
PSV,RCB
Bologna,RCM
Southampton,RW
RSC Anderlecht,RCB
Celtic,Sub
Hamburger SV,Sub
Zenit,Sub
FC Nantes,Sub
UD Almería,RB
Real Sociedad,Sub
RC Deportivo,Sub
Norwich,RB
1. FSV Mainz 05,RB
Gençlerbirliği,RM
Uni. Católica,RW
D.C. United,GK
Uni. de Chile,LCB
Standard Liège,RS
Inter,Sub
Toulouse FC,ST
Sampdoria,Sub
Boavista,LCM
QPR,Sub
Olym. Marseille,Sub
Ajax,LCB
Werder Bremen,Sub
Melb. Victory,RW
Sporting CP,LB
Bournemouth,LCB
Al Hilal,CAM
Belenenses,RM
Cagliari,Sub
Udinese,Sub
Real Valladolid,RS
VfB Stuttgart,Sub
FC Groningen,GK
Montpellier HSC,RM
PAOK,RDM
Çaykur Rizespor,Sub
Southampton,RCB
Bor. Dortmund,Res
1. FC Köln,RS
FC Schalke 04,Res
FC Augsburg,Sub
Hull City,Sub
Atalanta,Sub
AS Saint-Étienne,RCB
Hull City,RB
Galatasaray,Sub
Hull City,Res
Hertha BSC,Sub
Guadalajara,LM
CA Osasuna,RCB
UD Las Palmas,LB
Cagliari,CM
Fenerbahçe,ST
EA Guingamp,RW
BSC Young Boys,Sub
Granada CF,CB
Middlesbrough,LB
Sporting Gijón,Sub
Trabzonspor,RM
Uni. Católica,GK
V. Guimarães,Sub
FC Augsburg,Sub
Galatasaray,Sub
West Brom,LDM
1. FSV Mainz 05,LB
FC Twente,LW
San Lorenzo,Sub
Granada CF,LWB
Kayserispor,Sub
Cagliari,RS
Hull City,ST
Free Agents,Res
SM Caen,LW
Granada CF,LCM
Fulham,LW
1. FSV Mainz 05,Sub
West Brom,RM
Sporting CP,Sub
Belgrano,CAM
Roma,Sub
FC Rostov,GK
Atalanta,RCB
Spartak Moscow,LB
Tigres,RDM
Orlando City,RM
Swansea City,RB
Lazio,Sub
Feyenoord,LCB
Crystal Palace,RB
Werder Bremen,RB
Crystal Palace,LB
Aston Villa,RCB
FC Sion,RW
Swansea City,LB
Bournemouth,LDM
Giron. Bordeaux,Sub
Southampton,Sub
Standard Liège,RM
Zenit,Sub
Brentford,Sub
Málaga CF,Res
SC Braga,ST
FC København,LCB
Sunderland,Sub
AS Saint-Étienne,Sub
Free Agents,Res
Hull City,RCB
LOSC Lille,Sub
Kasimpaşa,LCB
Aston Villa,CDM
V. Setúbal,LB
Olympiakos CFP,Sub
Sunderland,Sub
Málaga CF,Sub
Trabzonspor,RCB
Sassuolo,LB
Atlético Madrid,Sub
Stade Rennais,RB
Angers SCO,LCM
Empoli,LCB
Deportivo Cali,LDM
Stade Rennais,Sub
Legia Warszawa,Sub
Colorado Rapids,LM
Medipol Başakşehir,CAM
Indep. Medellín,LAM
FC Metz,Sub
RC Deportivo,Sub
New England,LS
1. FSV Mainz 05,Sub
Aston Villa,LW
Aston Villa,LB
Sporting KC,LCM
Werder Bremen,LCB
Bournemouth,RDM
Deport. Alavés,LDM
Real Sociedad,RB
Cruz Azul,LCM
Free Agents,Res
Tigres,RCB
Chievo Verona,Sub
RB Leipzig,LCB
Crystal Palace,GK
Leeds United,RDM
West Ham,GK
Leicester City,RB
CD Leganés,RM
EA Guingamp,LCB
Columbus Crew SC,RF
Inter,Sub
CSKA Moscow,Sub
Legia Warszawa,LM
Stade de Reims,Sub
FC Rostov,CM
Arsenal Tula,Sub
FC Seoul,RCB
Giron. Bordeaux,Sub
RC Deportivo,Sub
FC Schalke 04,Sub
NY Red Bulls,LS
Sunderland,CAM
Palermo,Sub
Montpellier HSC,Sub
Montpellier HSC,Sub
Norwich,Sub
San Lorenzo,RCB
Terek Grozny,CAM
Sporting Gijón,LCB
FC Rostov,RWB
Sampdoria,RCB
Uni. de Chile,LB
KAA Gent,LM
Eint. Frankfurt,CB
FC St. Gallen,Sub
Beşiktaş,LM
Crystal Palace,Sub
Preston,LM
Boca Juniors,LCB
Banfield,Res
Bayer 04,Sub
LOSC Lille,RDM
Brisbane Roar,RCB
Bari,Sub
Napoli,Sub
Pescara,LCB
Osmanlıspor,RDM
Lokomotiv Moscow,RB
Zenit,RB
FC Krasnodar,RB
Rosario Central,LCB
Sporting Gijón,GK
West Ham,Sub
Athletic Bilbao,Sub
Gençlerbirliği,LDM
Rubin Kazan,Sub
Villarreal CF,Sub
Lanús,RCM
San Lorenzo,Sub
Hull City,Sub
Cagliari,GK
Genoa,Sub
Torino,Sub
RC Deportivo,GK
Bologna,LCM
Stoke City,Sub
Burnley,RCM
Palermo,Sub
Free Agents,Res
Jeonbuk Hyundai,Sub
Udinese,CM
Everton,Sub
F. Düsseldorf,GK
RC Lens,GK
Olym. Marseille,RCB
Genoa,RW
Giron. Bordeaux,RCM
SD Eibar,Sub
Newell's,LM
Zenit,Sub
FC Augsburg,CAM
Hull City,CDM
Middlesbrough,LM
RC Deportivo,Sub
Empoli,LS
Stoke City,ST
EA Guingamp,CDM
FC Sion,Sub
Cardiff City,GK
SC Braga,Sub
Feyenoord,Sub
Pescara,GK
Pescara,ST
Stoke City,Sub
Udinese,LCB
RCD Espanyol,LDM
Sassuolo,Sub
OGC Nice,Sub
Sampdoria,Sub
Santa Cruz,LAM
Deport. Alavés,LB
Montpellier HSC,Res
Bologna,CDM
Aytemiz Alanyaspor,LDM
São Paulo,RS
Palmeiras,RS
Grêmio,RAM
Fluminense,LM
Chapecoense,RAM
Cruzeiro,LAM
Sport,LAM
São Paulo,LAM
Santos,LAM
Sport,Sub
Santos,LDM
Internacional,LAM
Ponte Preta,Sub
Fluminense,RCB
Chapecoense,RCB
A. Minas G.,LCB
Santos,RCB
Figueirense,RB
Santos,Sub
Internacional,Sub
Santa Cruz,GK
Figueirense,LM
Fluminense,RM
Atl. Paranaense,CAM
Internacional,RDM
Fluminense,LDM
Atl. Paranaense,RDM
Atlético Mineiro,RDM
Botafogo,RCB
Atlético Mineiro,RCB
A. Minas G.,RCB
Coritiba,RB
Chapecoense,LB
SC Braga,Sub
Konyaspor,RS
Monterrey,RCB
Sporting CP,Sub
Sporting CP,Sub
SC Heerenveen,RCB
Leicester City,LCM
KRC Genk,LCB
River Plate,LAM
PSG,Sub
Athletic Bilbao,Sub
Veracruz,Sub
River Plate,Sub
Athletic Bilbao,Sub
Bologna,LB
Medipol Başakşehir,Sub
V. Guimarães,RB
SC Braga,Sub
Montpellier HSC,ST
Giron. Bordeaux,Sub
Angers SCO,LW
Olym. Marseille,RCM
San Lorenzo,RB
Athletic Bilbao,Sub
Zenit,Res
Atalanta,RM
Trabzonspor,Sub
Excelsior,GK
Hamburger SV,Sub
Watford,Sub
SC Heerenveen,RW
1. FC Köln,Sub
Sporting CP,Res
Real Madrid,Sub
Olym. Lyonnais,RCB
Bor. M'gladbach,Sub
Ajax,Sub
Giron. Bordeaux,LCM
Torino,LB
Atalanta,CB
Sunderland,Sub
Udinese,Sub
Free Agents,Res
Independiente,RCB
Portland,ST
Levante UD,Sub
Bologna,RW
V. Guimarães,LCB
Uni. Católica,LCB
FC Lorient,LCM
Sunderland,RDM
V. Guimarães,Sub
US Orléans,Sub
Marítimo,Sub
KAA Gent,Sub
Genoa,ST
Fenerbahçe,Sub
Whitecaps FC,LCB
Independiente,LM
LOSC Lille,Sub
SC Braga,LB
River Plate,RDM
Union Berlin,LCM
AZ,RW
Udinese,LB
Sporting Gijón,LM
Newcastle Utd,Sub
Hamburger SV,Sub
AS Monaco,Sub
Boca Juniors,Sub
Sevilla FC,Sub
Boca Juniors,Res
San Lorenzo,LM
Godoy Cruz,GK
Santos Laguna,RS
Colo-Colo,Res
Tijuana,LB
Panathinaikos,RM
1. FSV Mainz 05,Sub
Racing Club,RCM
Levante UD,LCB
1899 Hoffenheim,Sub
Whitecaps FC,LDM
Racing Club,Sub
Atl. Nacional,RB
Shakhtar Donetsk,Sub
Spartak Moscow,Sub
Arsenal,Sub
Monarcas Morelia,CAM
Boca Juniors,Sub
OGC Nice,Sub
Feyenoord,Sub
Fiorentina,Sub
Leicester City,Sub
Udinese,RW
LA Galaxy,Sub
Dijon FCO,ST
Wolves,Sub
Standard Liège,RCB
RSC Anderlecht,Sub
Celta Vigo,Sub
Genoa,RM
SV Darmstadt,RDM
SC Freiburg,LS
1. FC Heidenheim,LM
Terek Grozny,RCB
Vitesse,RCM
FC Sion,ST
Godoy Cruz,LCM
Boca Juniors,LW
SD Eibar,Sub
V. Guimarães,CAM
VfB Stuttgart,Sub
KRC Genk,Res
Guadalajara,RM
RB Leipzig,LB
Al Hilal,LB
Sassuolo,Sub
Aytemiz Alanyaspor,RM
PSV,Sub
Angers SCO,RW
Atlas,RCB
Panathinaikos,Sub
F. Santa Maria,GK
Olym. Marseille,Sub
Valencia CF,Sub
FC Nantes,LM
Olym. Marseille,RB
Grasshopper,ST
Norwich,LB
1. FSV Mainz 05,Sub
Granada CF,Sub
AS Saint-Étienne,Res
Gamba Osaka,LS
RB Leipzig,LS
Orlando Pirates,LB
SL Benfica,Sub
Leeds United,Sub
Bologna,Res
Hamburger SV,RDM
Tigres,RM
Chaves,RDM
FC Dallas,LCB
Sporting Gijón,Sub
Newcastle Utd,Sub
Benevento,RAM
FC København,RCB
Ind. Santa Fe,LS
Empoli,RS
V. Guimarães,Sub
Chiapas,ST
KRC Genk,RW
Toulouse FC,Sub
Leicester City,Res
Deport. Alavés,Sub
Union Berlin,RCB
Levante UD,LB
Nacional,RW
Olympiakos CFP,RB
UD Las Palmas,RB
FC Ingolstadt,ST
SC Bastia,LCM
Grasshopper,RM
Getafe CF,RB
Cruz Azul,RCM
FC Rostov,RCM
FC Krasnodar,Sub
Fulham,Sub
Fulham,RW
Osmanlıspor,ST
FC Porto,Sub
Celtic,Sub
RCD Espanyol,Sub
Toluca,LS
1. FC Köln,LM
Real Salt Lake,Sub
FC Augsburg,LB
Hamburger SV,LB
Portland,LM
Bournemouth,ST
FC Augsburg,RM
Cagliari,Sub
Málaga CF,LB
Terek Grozny,Sub
FC København,Sub
Napoli,Sub
Fulham,RCB
Stade de Reims,LM
KAA Gent,Sub
Free Agents,Res
FC Augsburg,Sub
FC Lorient,Sub
Reading,LCB
León,RCB
SV Darmstadt,RB
Derby County,RM
Burnley,LCM
Werder Bremen,Sub
Osmanlıspor,CAM
Club Brugge,RB
Terek Grozny,Sub
Fenerbahçe,Sub
Osmanlıspor,LDM
Sporting Gijón,Sub
Olympiakos CFP,LW
Córdoba CF,Sub
Sangju Sangmu,LB
Bari,Res
SM Caen,RCM
AS Saint-Étienne,Sub
FC Twente,LCM
América,LCM
Inter,Sub
FC Krasnodar,LB
AS Saint-Étienne,LDM
RSC Anderlecht,RB
AZ,RB
West Brom,Sub
FC Lorient,LW
Pachuca,ST
Deport. Alavés,Sub
Sporting CP,Sub
SD Huesca,CAM
Sassuolo,Sub
Sampdoria,Sub
Stade de Reims,Sub
New England,LCB
FC Lorient,Sub
Marítimo,LCM
Sydney FC,LM
Werder Bremen,Sub
Osmanlıspor,LB
Rubin Kazan,RM
KAA Gent,Sub
Zulte-Waregem,Sub
RB Leipzig,Sub
Urawa Diamonds,LCB
FC Metz,Sub
Adanaspor,ST
Spartak Moscow,CAM
FC Seoul,CB
Hellas Verona,LCM
Chaves,LB
Sampdoria,Sub
OGC Nice,RB
1. FC Nürnberg,RCM
Eint. Frankfurt,Sub
FC Lorient,Sub
Gaziantepspor,GK
Guadalajara,CAM
FC Lorient,Sub
Zenit,Sub
Brighton,Sub
Medipol Başakşehir,RB
Napoli,Sub
Monterrey,RW
Lokomotiv Moscow,Sub
Leeds United,ST
Fiorentina,LM
RB Salzburg,LAM
Olympiakos CFP,RCB
Genoa,Sub
Philadelphia,CAM
Atlas,LS
Crystal Palace,Sub
Napoli,Res
FC Nantes,RS
Toluca,CM
Club Brugge,LB
Pachuca,RCB
Real Valladolid,CAM
Gençlerbirliği,GK
Villarreal CF,Sub
EA Guingamp,GK
1899 Hoffenheim,LWB
Karabükspor,ST
Vitesse,Res
FC Utrecht,GK
Fenerbahçe,Sub
Deport. Alavés,RB
Bologna,Sub
Burnley,LCB
CD Tenerife,GK
Eint. Frankfurt,Res
Cagliari,Sub
Hamburger SV,RB
Pachuca,RW
Norwich,Sub
Udinese,Sub
Hertha BSC,Sub
Kasimpaşa,RM
Real Oviedo,Sub
UD Almería,LM
Vitesse,GK
Chiapas,LM
RC Deportivo,Sub
Kaizer Chiefs,LM
Lokomotiv Moscow,LDM
Club Brugge,Sub
Newcastle Utd,CAM
Getafe CF,LM
Antalyaspor,Sub
Al Ittihad,CAM
Chievo Verona,RB
Estudiantes,LS
Sporting CP,Sub
SC Bastia,LCB
Free Agents,Res
Dijon FCO,LM
Middlesbrough,Sub
FC Krasnodar,Sub
V. Guimarães,GK
CSKA Moscow,LM
CSKA Moscow,Sub
EA Guingamp,Sub
Fulham,LCM
Aston Villa,RW
FC Augsburg,Sub
Girona CF,Sub
Atlas,Sub
Shakhtar Donetsk,Sub
Middlesbrough,Sub
Middlesbrough,CDM
Olym. Lyonnais,Sub
León,RM
1. FC Köln,Sub
Olym. Marseille,Sub
Fenerbahçe,Sub
SD Eibar,GK
RB Leipzig,GK
Fenerbahçe,Sub
Angers SCO,RCB
PAOK,RM
1899 Hoffenheim,Sub
SM Caen,LM
LA Galaxy,RM
Vitesse,ST
Kasimpaşa,CAM
AS Saint-Étienne,Sub
Querétaro,CDM
Free Agents,Res
Konyaspor,LDM
Palermo,Sub
Monterrey,RCM
SC Heerenveen,GK
PSV,Sub
Norwich,LDM
AS Saint-Étienne,Sub
CD Leganés,RB
Leicester City,Sub
Free Agents,Res
Celta Vigo,Sub
Monterrey,Sub
Chaves,GK
Free Agents,Res
VfB Stuttgart,GK
Brighton,RCM
Medipol Başakşehir,LCB
Bologna,Sub
SM Caen,Sub
Legia Warszawa,ST
Shakhtar Donetsk,Sub
Gaziantepspor,Sub
Kawasaki Front.,CAM
Lech Poznań,LM
SV Darmstadt,LM
Sheffield Wed,Sub
Columbus Crew SC,ST
Norwich,Sub
Sheffield Wed,LM
Arouca,GK
Birmingham City,RS
Vercelli,CDM
Karabükspor,CAM
New England,RS
Osmanlıspor,Sub
FC Metz,Sub
Terni,Sub
Stade Lavallois,RCM
Zulte-Waregem,ST
Necaxa,Sub
Toulouse FC,Sub
Sporting Gijón,Sub
Gaziantepspor,LM
Junior,ST
Beşiktaş,LCB
Kashima Antlers,GK
Real Salt Lake,ST
FC Nantes,Sub
Uni. de Chile,GK
CA Osasuna,Sub
Panathinaikos,Sub
Brighton,LS
Granada CF,Sub
Kayserispor,LM
Rosenborg BK,RCM
Athletic Bilbao,Sub
Melb. Victory,CAM
Monterrey,LCB
Olympiakos CFP,Sub
Norwich,Sub
RSC Anderlecht,Sub
Kayserispor,Sub
Real Zaragoza,LB
Stoke City,Res
VfL Bochum,LCB
Aston Villa,Sub
Bournemouth,LB
Sunderland,Sub
Middlesbrough,RB
Spal,RS
Chievo Verona,Sub
Al Ahli,LDM
Atalanta,Sub
Málaga CF,Res
Panathinaikos,RDM
Stade Rennais,RM
Toluca,RCM
FC Krasnodar,Sub
West Brom,Sub
Galatasaray,LCB
Hull City,Sub
Leicester City,Sub
Rio Ave,GK
Crystal Palace,Sub
Middlesbrough,Sub
QPR,RCB
AS Saint-Étienne,Sub
Derby County,RCB
Norwich,RCB
Torino,Sub
Hertha BSC,Sub
Whitecaps FC,GK
Atalanta,Sub
Al Qadisiyah,RM
Deportivo Cali,RDM
CA Osasuna,Sub
Crystal Palace,Sub
Olympiakos CFP,RCM
Puebla,GK
Melb. Victory,ST
Paços Ferreira,Sub
VfL Wolfsburg,Sub
FC Lorient,Sub
Real Oviedo,ST
Newcastle Utd,LM
Chiapas,GK
Nott'm Forest,Sub
Suwon Bluewings,Sub
Vélez Sarsfield,RS
Sampdoria,RCM
Lanús,ST
Sydney FC,ST
Norwich,RDM
Olym. Marseille,Sub
EA Guingamp,Sub
Chievo Verona,Sub
Rubin Kazan,Sub
CA Osasuna,Sub
CD Leganés,Sub
Medipol Başakşehir,Sub
Konyaspor,GK
Gaziantepspor,Sub
Newell's,GK
Beşiktaş,Sub
Estudiantes,LCB
Osmanlıspor,Sub
Getafe CF,RCB
U.N.A.M.,GK
Toluca,LCB
Al Taawoun,CM
Olym. Lyonnais,LB
Trabzonspor,LCB
Bologna,LCB
Genoa,Sub
Empoli,LCM
Bari,Sub
Chievo Verona,LB
Bournemouth,RCB
Bayer 04,Res
Celtic,RDM
Bury,Sub
LA Galaxy,LDM
FC Metz,CAM
LOSC Lille,LB
GFC Ajaccio,GK
Real Zaragoza,CAM
Olym. Marseille,GK
Pescara,Sub
Pescara,Sub
Cagliari,LCM
Leeds United,GK
Werder Bremen,Sub
FC Lorient,Sub
SC Bastia,Res
Hull City,Sub
San Lorenzo,Sub
Krylya Sovetov,Sub
Stade Rennais,Sub
Bari,LW
IFK Norrköping,RCB
FC Luzern,RCB
Sp. Charleroi,GK
Club Brugge,LCM
Sunderland,LCB
Rio Ave,RCM
Montpellier HSC,LCB
Free Agents,Res
SC Bastia,RCB
RCD Espanyol,LB
Real Betis,RM
Paços Ferreira,CM
